Weekly Returns -- TLT
Window: 520 weeks  |  Price: Close
----------------------------------
Week Start              tlt_return
2023-11-13                  +2.33%
2023-11-20                  -0.27%
2023-11-27                  +3.55%
2023-12-04                  +1.67%
2023-12-11                  +4.88%
2023-12-18                  -0.68%
2023-12-25                  +0.41%
2024-01-01                  -2.62%
2024-01-08                  +0.24%
2024-01-15                  -2.52%
2024-01-22                  -0.33%
2024-01-29                  +2.44%
2024-02-05                  -2.31%
2024-02-12                  -1.16%
2024-02-19                  +1.20%
2024-02-26                  +0.64%
2024-03-04                  +1.33%
2024-03-11                  -2.91%
2024-03-18                  +1.12%
2024-03-25                  +0.68%
2024-04-01                  -3.41%
2024-04-08                  -1.20%
2024-04-15                  -1.26%
2024-04-22                  -1.02%
2024-04-29                  +1.81%
2024-05-06                  +0.31%
2024-05-13                  +1.41%
2024-05-20                  -0.01%
2024-05-27                  -1.02%
2024-06-03                  +1.16%
2024-06-10                  +3.46%
2024-06-17                  -0.75%
2024-06-24                  -2.32%
2024-07-01                  +0.85%
2024-07-08                  +1.49%
2024-07-15                  -1.09%
2024-07-22                  +0.08%
2024-07-29                  +5.69%
2024-08-05                  -2.06%
2024-08-12                  +1.23%
2024-08-19                  +0.97%
2024-08-26                  -1.93%
2024-09-02                  +3.18%
2024-09-09                  +0.85%
2024-09-16                  -1.52%
2024-09-23                  -0.31%
2024-09-30                  -3.06%
2024-10-07                  -1.94%
2024-10-14                  +0.18%
2024-10-21                  -1.84%
2024-10-28                  -1.41%
2024-11-04                  +1.82%
2024-11-11                  -2.61%
2024-11-18                  +0.34%
2024-11-25                  +3.96%
2024-12-02                  +0.45%
2024-12-09                  -4.49%
2024-12-16                  -2.04%
2024-12-23                  -1.37%
2024-12-30                  +0.22%
2025-01-06                  -2.10%
2025-01-13                  +2.02%
2025-01-20                  +0.03%
2025-01-27                  +0.62%
2025-02-03                  +1.72%
2025-02-10                  -0.13%
2025-02-17                  +0.52%
2025-02-24                  +3.15%
2025-03-03                  -2.51%
2025-03-10                  +0.07%
2025-03-17                  +0.59%
2025-03-24                  -0.62%
2025-03-31                  +3.01%
2025-04-07                  -6.42%
2025-04-14                  +0.74%
2025-04-21                  +1.55%
2025-04-28                  -1.30%
2025-05-05                  -0.78%
2025-05-12                  -0.86%
2025-05-19                  -2.03%
2025-05-26                  +2.05%
2025-06-02                  -1.08%
2025-06-09                  +1.15%
2025-06-16                  +0.19%
2025-06-23                  +1.04%
2025-06-30                  -0.48%
2025-07-07                  -1.36%
2025-07-14                  -0.64%
2025-07-21                  +1.40%
2025-07-28                  +1.61%
2025-08-04                  -0.60%
2025-08-11                  -1.02%
2025-08-18                  +0.75%
2025-08-25                  -0.52%
2025-09-01                  +2.26%
2025-09-08                  +1.57%
2025-09-15                  -1.03%
2025-09-22                  -0.13%
2025-09-29                  +0.54%
2025-10-06                  +1.39%
2025-10-13                  +0.64%
2025-10-20                  +0.30%
2025-10-27                  -1.29%
2025-11-03                  -0.80%
2025-11-10                  -0.78%
2025-11-17                  +0.71%
2025-11-24                  +0.79%
2025-12-01                  -2.26%
2025-12-08                  -0.94%
2025-12-15                  +0.24%
2025-12-22                  +0.22%
2025-12-29                  -0.81%
2026-01-05                  +1.03%
2026-01-12                  -0.15%
2026-01-19                  +0.15%
2026-01-26                  -0.91%
2026-02-02                  +0.47%

Best week:  TLT  2020-03-02  +7.38%
Worst week: TLT  2020-03-09  -7.69%

Single-week summary
  Week start: 2026-02-02
  tlt_return: +0.47%
